CF%,CA/60,GF%,xGF%,Playoffs
50.71,44.57,52.97,48.73,1
50.96,48.47,52.73,51.1,1
47.35,55.93,50.34,45.83,0
44.35,59.08,46.53,44.08,1
48.54,54.38,47.26,47.13,0
47.93,55.35,55.28,50.07,1
49.8,55.37,58.44,51.45,1
50.96,53.42,51.47,52.13,1
52.42,51.16,49.42,53.01,1
49.67,54.92,53.11,52.02,1
48.62,59,53.92,48.41,1
47.55,59.72,47.22,45.19,0
48.99,54.44,47.64,47.9,0
45.55,58.48,44.37,45.94,0
51.99,51.26,54.61,51.79,1
50.26,56.03,54.17,48.61,1
49.76,56.35,52.84,49.26,1
50.65,56.07,51.5,49.14,0
50.56,54.22,50.74,47.23,0
48.65,57.95,37.99,45.88,0
46.81,58.45,48.68,46.63,0
45.06,62.69,44,41.97,0
48,60.8,45.7,46.18,0
48.74,59.33,45.61,49.23,0
42.97,56.66,41.81,43.22,0
46.27,56.3,47.73,46.73,0
48.59,55.66,48.79,45.65,0
48.71,57.88,45.42,47.6,0
52.97,47.6,46.58,51.33,1
50.53,51.96,59.57,50.85,1
52.62,49.94,48.33,52.2,1
50.71,57.58,58.67,49.38,1
53.78,51.41,56.72,54.41,1
54.39,51.76,55.42,53.24,1
53.87,49.9,61.19,54.53,1
51.68,52.1,50.54,51.05,0
49.54,55.87,51.13,49.4,0
54.68,49.89,49.31,55.22,1
53.8,51.12,54.49,53.48,1
53.05,51.4,55.16,52.14,1
49.56,51.15,52.07,50.37,0
49.25,54.18,50.68,51.18,0
50.31,54.01,51.69,50.71,1
50.41,55.09,52.96,51.99,1
48.93,54.58,50.84,47.98,0
45.11,59.1,47.34,43.89,0
43.05,61.41,36.64,42.13,0
37.49,66.55,38.52,40.02,0
47.54,55.16,44.98,47.43,0
47.24,57.99,44.84,47.57,0
47.58,56.57,40.48,45.05,0
49.93,56.02,45.27,47.82,0
52.07,53.61,50.86,50.42,0
52.13,55.04,49.44,50.63,1
48.83,57.41,47.22,47.38,0
49.03,61.69,49.01,48.03,0
48.36,59.53,46.44,47.41,0
51.62,57.93,45.83,48.11,0
50.28,57.53,47.74,48.34,0
52.36,51.57,43.71,51.15,0
51.45,51.66,45.36,49.87,0
51.39,53.39,46.2,50.98,0
54.47,52.24,46.69,53.12,0
54.67,53.19,51.8,56.47,1
52.43,44.5,47.19,53.42,0
52.03,46.57,53.55,52.49,1
47.94,51.44,44.41,48.15,0
50.94,52.22,46.62,50.03,0
47.56,54.25,44.52,49.01,0
47.14,53.1,51.23,46.33,0
49.9,52.54,52.11,51.19,1
47.32,55.83,46.62,47.2,0
48.01,56.89,48.21,51.74,0
50.3,55.16,56,50,1
51.55,56.23,53.33,51.94,1
50.09,54.73,51.58,50.34,1
52.55,46.06,52.21,52.82,1
55.74,48.14,51.61,53.47,1
51.86,51.31,49.44,50.51,0
51.82,52.46,52.46,53.1,0
47.42,55.64,48.06,49.27,0
47.4,56.32,40.39,47.74,0
46.35,57.8,44.34,46.67,0
44.47,62.52,49.34,46.2,1
48.12,57.22,47.04,48.08,0
50.55,52.64,49.29,48.89,1
53.45,55.98,48.17,52.62,0
53.98,51.78,55.29,53.2,1
49.72,46.08,52.38,48.81,0
55.31,43.68,54.07,53.61,1
56.55,44.94,54.77,56.95,1
52.78,50.26,53.7,51.69,1
52.92,50.04,50.3,51.53,1
54.12,46.5,60.69,53.42,1
55.42,47.18,54.98,55.39,1
53.62,52.19,53.96,50.49,1
50.65,53.97,48.91,48.26,1
50.45,54.65,54.67,49.08,1
52.36,58.18,47.42,49.59,0
49.24,58.7,50.14,45,0
48.05,50.65,52.92,51.45,1
46.68,56.74,42.71,47.76,0
44.78,57.91,51.17,47.85,1
47.3,57.04,45.74,49.72,0
51.35,53.66,48.21,49.39,0
48.83,56.96,44.89,48.32,0
46.94,58.61,53.59,46.42,1
43.25,62.08,49.35,43.28,0
44.18,62.22,47.92,44.14,0
48.39,55.58,36.84,44.94,0
47.57,60.26,52.07,46.29,1
50.01,57.52,50.5,49.88,1
51.71,45.31,52.26,49.62,1
49.89,50.61,48.36,49.18,0
48.03,56.48,48.99,48.39,0
48,55.29,50.35,47.29,0
49.85,55.9,48.29,47.64,0
48.85,55.98,50,46.26,0
50.52,56.4,52.1,50.94,1
52.11,56.61,50.58,51.9,0
52.56,55.56,51.27,52.48,1
50.08,57.9,49.01,49.63,0
51.04,54.65,52.48,53.54,0
48.14,58.01,50.56,50.26,1
58.81,39.8,58.2,57.94,1
57.31,44.55,54.87,52.56,1
54.04,49.43,47.92,52.57,1
53.21,52.12,50.15,52.15,1
54.87,46.69,59.08,53.84,1
53.57,47.76,52.48,52.39,1
51.45,48.74,50.34,50.04,1
53.48,45.85,51.16,51.64,1
51.71,49.34,48.31,49.23,1
48.22,53.76,47.06,47.99,0
48.8,56.33,47.1,48.57,0
47.14,58.58,45.57,44.71,0
46.37,56.46,46.73,47.75,0
47.61,56.96,50.51,48.28,0
44.95,62.3,43.16,46.02,0
46.36,57.92,41.92,44.4,0
47.27,56.65,47.26,46.89,0
44.59,60.4,47.06,43.96,0
44.32,60.91,41.5,43.9,0
48.08,56.87,40.18,45.17,0
48.77,56.92,44.33,49.11,0
49.9,54.91,54.28,50.99,1
50.62,58.38,47.77,50.89,0
47.99,57.22,44.75,46.6,0
48.99,54.95,48.63,47.18,0
46.68,59.27,51.34,46.7,0
44.54,62.15,48.04,45.85,0
50.3,55.32,46.67,51.52,0
49.55,52.96,46.59,46.66,1
49.12,54.43,36.26,45.49,0
50.97,52.07,43.99,48.75,0
51.28,51.13,50.53,51.71,0
48.72,50.8,56.34,49.02,1
50.5,53.01,44.67,47.86,0
49.14,59.4,49.85,48.72,0
49.42,56.32,46.18,48.01,0
45.71,58.2,43.97,44.76,0
50.69,51.62,45.78,51.34,0
50.73,50.14,51.29,51.09,1
51.62,51.76,52.3,52.18,1
54.76,49.19,50.21,52.95,1
56.33,44.32,52.12,54.96,1
56.8,46.58,55.36,55.3,1
55.37,47.7,55,54.64,0
56.39,48.16,54.02,54.67,1
54.96,49.09,48.65,54.21,0
50.05,56.08,52.98,48,1
48.25,57.52,45.28,47.99,0
48.8,51.09,48.05,46.19,1
47.17,53.75,47.29,46.8,0
47.81,53.91,47.18,49.4,0
45.25,57.13,45.96,45.08,0
44.29,60.09,42,46.88,0
49.45,50.9,47.02,52.09,1
48.6,51.04,52.61,50.25,1
51.06,52.65,53.55,55.21,1
47.68,55.14,52.08,50.18,1
49.35,55.4,55.69,54.6,1
47.18,58.3,52.63,53.58,1
50.92,55.42,47.6,54.14,0
46.01,59.85,49.6,46.13,1
47.88,58.86,48.97,47.16,1
47.18,58.68,47.79,46.19,1
51.56,55.78,50,49.88,1
47.99,57.04,49.12,47.47,0
52.85,51.74,55.75,55.54,1
46.74,60.38,49.06,48.38,1
48.52,57.39,54.68,48.9,1
51.39,53.4,48.47,50.97,0
52.54,53.09,54.42,53,1
50.49,58.33,45.49,51.24,0
54.42,55.08,53.74,54.67,0
52.47,44.86,50,51.71,1
52.52,49.54,54.65,53.47,1
50.99,47.68,52.57,51.51,1
52.1,45.17,44.15,51.54,0
50.31,45.36,48.94,51.88,1
55.88,39.93,46.38,54.85,0
54.4,41.3,47.47,55.71,0
47.19,50.54,47.92,46.99,0
46.14,49.25,45.42,47.31,0
47.83,53.33,43.35,47.81,0
48.63,57.69,48.77,50.32,1
46.87,58.7,44.58,48.41,0
50.55,50.13,50.18,52.45,1
49.11,52.58,48.71,48.09,0
51.49,51.42,50.87,51.06,1
49.14,53.2,53.9,50.56,1
46.61,55.81,50.66,51.23,1
46.72,52.84,46.88,50.69,0
48.46,54.53,46.89,51.68,0
52.72,52.4,56.9,54.74,1
52.5,50.8,51.08,53.78,1
51.42,54.61,53,51.7,1
51.52,56.44,56.61,50.93,1
52.19,54.84,53.47,51.16,1
50.44,53.46,47.46,49.65,0
45.6,63.35,40.77,45.46,0
47.7,59.99,46.18,49.52,0
46.14,62.17,44.09,44.9,0
47.59,57.54,42.76,48.43,0
49.97,55.5,49.47,51.83,1
49.42,56.7,44.98,48.62,0
52.74,54.95,51.7,55.41,1
49.52,56.03,51.51,49.09,1
47.75,60.1,50.86,49.05,0
47.47,61.89,48.35,46.87,0
47.82,57.44,55.44,51.2,1
53.89,46.06,54.08,53.86,1
52.67,52.36,47.15,51.95,1
49.73,55.41,51.25,49.32,0
49.14,55.65,52.28,53.28,1
47.7,54.63,53.24,51.99,1
51.98,53.61,57.32,53.98,1
52.44,53.2,51.84,51.76,1
49.49,55.59,56.65,49.97,1
47.39,57.22,55.82,47.87,1
47.9,57.24,52.19,48.88,1
45.9,62.58,45.18,47.12,0
46.05,60.09,45.71,47.14,0
51.07,51.68,54.98,50.65,1
49.19,52.16,46.99,49.53,0
51.98,50.29,45.89,52.98,1
49.91,53.56,42.09,48.86,0
52.3,54.6,50.64,48.73,1
53.62,53.32,50,53.31,1
52.37,56.31,48.75,48.03,0
50.24,55.11,51.36,51.14,1
47.65,57.88,50.68,47.7,0
48.54,58.15,48.74,49.11,1
47.12,62.15,43.23,45.87,0
44.9,65.3,43.56,46.29,0
46.99,56.53,47.64,47.87,1
47.56,58.82,50,47.98,1
50.91,55.06,49.65,51.86,1
49.2,58.72,54.95,50.95,1
50.98,55.05,53.7,52.57,1
47.59,58.31,45.76,48.05,0
49.97,56.33,48.98,49.61,1
49.31,55.16,49.44,47.05,0
50.63,56.22,50.38,49.29,1
51.09,55.14,45.36,49.34,0
49.79,55.51,52.33,50.54,1
48.27,59.62,46.84,48.7,0
45.62,56.52,54.66,49.75,1
48.13,55.76,55.03,49.68,1
52.08,54.03,51.7,52.47,1
52.79,51.83,53.31,51.43,1
54.24,50.27,54.05,53.8,1
49.05,56.18,59.12,52.23,1
48.69,54,51.34,50.89,1
52.78,49.97,52.54,51.83,1
52.69,52.09,55.02,55.77,1
50.14,57.49,55.19,52.44,1
52.23,55.27,48.07,52.69,1
49.66,59,54.68,51.51,1
53.79,43.8,53.66,56.44,1
54.23,46.96,51.78,56.5,1
51.08,54.38,55.41,52.17,1
53.51,52.01,54.06,56,1
51.73,55,51.84,54.49,1
51.29,55.77,50.33,54.34,1
53.72,53.67,53.67,57.44,1
51.49,56.04,47.1,51.32,0
51.68,51.94,52.69,55.08,1
51.3,55.15,53,52.51,1
50.8,58.87,48.75,51.92,1
54.94,50.97,51.33,54.36,1
47.4,50.53,48.73,48,0
47.95,52.29,48.51,49.43,1
50.84,52.01,49.82,49.61,0
52.26,51.33,50.47,51.3,0
53.04,49.39,57.02,54.67,1
52.21,47.16,51.9,50.63,1
53.15,48.93,55.44,54.17,1
51.74,51.19,54.58,53.1,1
51.93,51.39,52.85,52.14,1
50.18,51.57,52.92,50.58,1
51.73,54.68,52.26,51.46,0
51.49,52.67,53.55,53.74,1
49.47,50.95,44.3,48.99,0
47.69,54.33,47.06,48.3,0
47.62,54.6,45.83,46.83,0
51.88,52.9,50.99,55.52,1
47.31,55.86,48.15,47.4,0
47.19,56.55,51,48.68,0
51,52.81,54.12,50.82,1
53.03,49.57,56.59,54.62,1
52.19,51.1,53.85,51.4,1
51.27,52.51,49.12,50.48,0
51.62,55.89,57.18,52.76,1
51.56,55.06,56.63,52.67,1
51.62,52.53,50.18,50.97,0
50.25,57.35,46.83,49.16,0
52.82,55.58,48.06,53.34,0
47.77,61.4,48.53,46.97,0
48.92,57.82,46.27,47.59,0
44.1,64.53,52.26,43.98,1
42.9,66.5,47.59,42.97,0
46.44,60.36,44.3,44.11,0
51.31,55.52,42.86,49.38,0
50.38,58.61,50.91,50.88,1
49.86,59.22,54.07,51.1,1
51.78,60.15,54.45,51.79,1
48.31,50.84,49.17,48.46,0
49.43,51.22,56.44,49.99,1
51.7,51.21,55.48,51.49,1
52.28,52.86,56.84,50.56,1
52.68,51.32,54.17,48.68,1
51.46,49.96,50.92,50.56,1
51.28,54.24,49.47,50.2,0
49.49,54.68,48.21,47.66,1
47.21,55.64,44.77,44.65,0
47.96,54.72,44.76,45.71,0
47.68,57.96,45.82,46.57,0
48.03,58.49,46.23,45.91,0
50.96,56.24,52.78,50.68,1
54.34,52.5,51.81,56.07,1
50.32,55.37,49.02,50.86,0
49.48,57.1,47.15,48.62,0
50.07,56.23,48.56,50.92,0
52.52,50.33,53.76,53.32,1
51.41,52.04,50.52,50.25,0
49.24,53.93,48.91,50.65,0
51.5,55.18,54.72,52.79,1
48.94,58.41,50.61,47.76,1
55.62,46.75,51.47,55.05,1
54.95,50.98,52.61,54.45,1
52.87,54.64,60.93,51.49,1
51.16,54.55,52,51.76,1
48.91,55.37,50.68,49.96,1
48.72,56.34,51.7,48.91,1
47.69,56.96,46.85,47.93,0
51.38,52.7,52.33,52.42,1
50.99,54.01,55.86,51.76,1
51.79,52.22,61.38,51.43,1
47.99,59.36,52.48,46.88,1
49.16,58.65,54.67,47.14,1
