CF%,CF/60,CA/60,GF%,GF/60,GA/60,xGF%,xGF/60,xGA/60,Sh%,Sv%,PDO,SC
50.71,45.86,44.57,52.97,1.89,1.68,48.73,1.92,2.02,7.3,93.62,100.93,0
50.96,50.37,48.47,52.73,2.39,2.14,51.1,2.22,2.13,8.4,92.42,100.82,0
47.35,50.3,55.93,50.34,2.34,2.31,45.83,2.12,2.5,8.23,92.75,100.98,0
44.35,47.09,59.08,46.53,2.09,2.4,44.08,1.92,2.43,7.87,92.31,100.18,0
48.54,51.29,54.38,47.26,2.13,2.37,47.13,2.05,2.3,7.99,91.66,99.65,0
47.93,50.95,55.35,55.28,2.3,1.86,50.07,2.12,2.11,8.59,93.01,101.6,0
49.8,54.93,55.37,58.44,2.93,2.09,51.45,2.4,2.27,9.83,92.62,102.45,0
50.96,55.51,53.42,51.47,2.43,2.29,52.13,2.29,2.1,8.48,91.82,100.3,0
52.42,56.35,51.16,49.42,1.98,2.02,53.01,2.26,2,6.69,92.39,99.08,0
49.67,54.19,54.92,53.11,2.25,1.98,52.02,2.37,2.19,7.77,92.98,100.75,0
48.62,55.83,59,53.92,2.41,2.06,48.41,2.35,2.51,8.16,93.35,101.51,0
47.55,54.15,59.72,47.22,2.08,2.33,45.19,2.17,2.63,7.46,92.55,100.01,0
48.99,52.28,54.44,47.64,1.99,2.19,47.9,2.05,2.23,6.62,92.79,99.41,0
45.55,48.92,58.48,44.37,2.02,2.54,45.94,1.87,2.2,7.59,91.85,99.44,0
51.99,55.51,51.26,54.61,2.4,2,51.79,2.19,2.04,7.89,92.91,100.8,0
50.26,56.62,56.03,54.17,2.42,2.05,48.61,2.18,2.31,8.03,93.31,101.34,0
49.76,55.8,56.35,52.84,2.4,2.14,49.26,2.27,2.33,8.07,93.07,101.15,0
50.65,57.55,56.07,51.5,2.28,2.15,49.14,2.23,2.31,7.42,92.93,100.35,0
50.56,55.44,54.22,50.74,2.12,2.06,47.23,1.98,2.21,7.26,93.01,100.27,0
48.65,54.91,57.95,37.99,1.61,2.63,45.88,2.01,2.37,5.72,91.52,97.24,0
46.81,51.43,58.45,48.68,2.05,2.16,46.63,1.95,2.23,7.67,92.96,100.63,0
45.06,51.43,62.69,44,1.99,2.53,41.97,1.94,2.68,7.28,92.44,99.72,0
48,56.12,60.8,45.7,2.07,2.46,46.18,2.12,2.47,7.28,92.15,99.43,0
48.74,56.4,59.33,45.61,2,2.39,49.23,2.28,2.35,6.7,92.14,98.84,0
42.97,42.69,56.66,41.81,2.01,2.79,43.22,1.94,2.55,8.27,91.55,99.82,0
46.27,48.48,56.3,47.73,2.44,2.67,46.73,2.22,2.53,9.02,91.67,100.69,0
48.59,52.6,55.66,48.79,2.61,2.74,45.65,2.14,2.55,8.98,91.52,100.5,0
48.71,54.97,57.88,45.42,2.13,2.56,47.6,2.22,2.44,7.03,91.79,98.82,0
52.97,53.61,47.6,46.58,1.79,2.06,51.33,2.1,1.99,6.24,91.98,98.21,0
50.53,53.07,51.96,59.57,2.65,1.8,50.85,2.23,2.16,9.08,93.98,103.06,0
52.62,55.47,49.94,48.33,2,2.13,52.2,2.11,1.93,6.53,92.45,98.98,0
50.71,59.24,57.58,58.67,2.68,1.89,49.38,2.27,2.33,8.32,94.1,102.42,1
53.78,59.83,51.41,56.72,2.88,2.2,54.41,2.32,1.95,9.02,92.4,101.42,0
54.39,61.73,51.76,55.42,2.38,1.91,53.24,2.43,2.14,7.31,93.18,100.49,0
53.87,58.27,49.9,61.19,2.63,1.67,54.53,2.24,1.87,8.45,93.99,102.44,0
51.68,55.74,52.1,50.54,2.09,2.05,51.05,2.03,1.95,7.12,92.94,100.06,0
49.54,54.85,55.87,51.13,2.42,2.31,49.4,2.1,2.15,7.78,92.28,100.06,0
54.68,60.2,49.89,49.31,2.22,2.28,55.22,2.43,1.97,6.86,91.31,98.17,0
53.8,59.55,51.12,54.49,2.5,2.09,53.48,2.4,2.09,7.82,92.34,100.16,0
53.05,58.09,51.4,55.16,2.33,1.89,52.14,2.27,2.09,7.3,93.16,100.46,0
49.56,50.27,51.15,52.07,2.72,2.5,50.37,2.16,2.13,9.42,91.12,100.54,0
49.25,52.58,54.18,50.68,2.48,2.41,51.18,2.19,2.08,8.2,92.05,100.24,0
50.31,54.68,54.01,51.69,2.45,2.29,50.71,2.37,2.3,7.83,92.54,100.37,0
50.41,56,55.09,52.96,2.51,2.23,51.99,2.34,2.16,7.82,92.47,100.29,0
48.93,52.29,54.58,50.84,2.29,2.21,47.98,2.07,2.24,8.11,92.63,100.73,0
45.11,48.56,59.1,47.34,2.15,2.39,43.89,1.88,2.41,8,92.58,100.58,0
43.05,46.42,61.41,36.64,1.48,2.56,42.13,1.82,2.5,5.84,92.29,98.13,0
37.49,39.92,66.55,38.52,1.64,2.62,40.02,1.69,2.54,7.14,92.41,99.55,0
47.54,49.98,55.16,44.98,1.83,2.23,47.43,1.9,2.1,6.6,92.52,99.12,0
47.24,51.92,57.99,44.84,1.88,2.31,47.57,2.06,2.27,6.41,92.92,99.33,0
47.58,51.35,56.57,40.48,1.81,2.67,45.05,1.93,2.36,6.16,91.63,97.79,0
49.93,55.85,56.02,45.27,2.28,2.75,47.82,2.2,2.41,7.18,91.54,98.72,0
52.07,58.25,53.61,50.86,2.63,2.54,50.42,2.47,2.43,8.26,91.12,99.38,0
52.13,59.93,55.04,49.44,2.19,2.24,50.63,2.46,2.39,6.85,92.17,99.02,0
48.83,54.79,57.41,47.22,2.22,2.48,47.38,2.29,2.54,7.85,91.81,99.66,0
49.03,59.34,61.69,49.01,2.39,2.49,48.03,2.46,2.66,8.03,92.42,100.44,0
48.36,55.74,59.53,46.44,2.11,2.43,47.41,2.36,2.62,7.31,92.35,99.66,0
51.62,61.82,57.93,45.83,2.33,2.75,48.11,2.54,2.75,7.28,91.21,98.49,0
50.28,58.17,57.53,47.74,2.09,2.29,48.34,2.33,2.49,6.87,92.61,99.47,0
52.36,56.67,51.57,43.71,1.87,2.41,51.15,2.34,2.24,6.2,90.98,97.18,0
51.45,54.75,51.66,45.36,1.96,2.36,49.87,2.32,2.33,6.89,91.41,98.3,0
51.39,56.44,53.39,46.2,2.17,2.52,50.98,2.48,2.39,7.43,91.17,98.6,0
54.47,62.51,52.24,46.69,2.28,2.6,53.12,2.59,2.29,7.04,90.97,98.01,0
54.67,64.14,53.19,51.8,2.42,2.25,56.47,3.06,2.36,7.21,92,99.21,0
52.43,49.04,44.5,47.19,1.85,2.07,53.42,1.99,1.73,6.52,91.98,98.51,0
52.03,50.51,46.57,53.55,2.46,2.13,52.49,2.07,1.87,8.61,91.68,100.29,0
47.94,47.37,51.44,44.41,2.11,2.65,48.15,1.89,2.03,7.65,90.88,98.53,0
50.94,54.23,52.22,46.62,2.19,2.51,50.03,2.14,2.14,7.48,91.26,98.74,0
47.56,49.19,54.25,44.52,2.05,2.55,49.01,2,2.09,7.34,91.78,99.12,0
47.14,47.35,53.1,51.23,2.17,2.07,46.33,1.75,2.03,8.71,93.01,101.72,0
49.9,52.34,52.54,52.11,2.31,2.13,51.19,2.04,1.94,8.06,92.78,100.84,0
47.32,50.14,55.83,46.62,2.25,2.57,47.2,2.07,2.31,7.97,91.87,99.85,0
48.01,52.54,56.89,48.21,2.27,2.44,51.74,2.54,2.37,7.89,91.88,99.78,0
50.3,55.84,55.16,56,2.52,1.98,50,2.47,2.47,8.18,93.26,101.44,0
51.55,59.83,56.23,53.33,2.49,2.18,51.94,2.7,2.5,7.44,92.85,100.28,0
50.09,54.94,54.73,51.58,2.68,2.51,50.34,2.41,2.38,8.62,91.58,100.19,0
52.55,51.01,46.06,52.21,2.38,2.18,52.82,2.2,1.97,8.71,92.04,100.75,0
55.74,60.63,48.14,51.61,2.69,2.53,53.47,2.42,2.11,8.3,91.06,99.36,0
51.86,55.28,51.31,49.44,2.08,2.13,50.51,2.07,2.03,7.36,92.35,99.71,0
51.82,56.42,52.46,52.46,2.51,2.28,53.1,2.18,1.93,8.46,91.6,100.07,0
47.42,50.17,55.64,48.06,2.08,2.25,49.27,2.16,2.23,7.74,92.53,100.27,0
47.4,50.75,56.32,40.39,2.13,3.15,47.74,2.16,2.37,7.9,89.27,97.17,0
46.35,49.93,57.8,44.34,2.06,2.58,46.67,1.96,2.24,7.91,90.89,98.8,0
44.47,50.06,62.52,49.34,2.26,2.32,46.2,1.99,2.31,8.88,92.15,101.03,0
48.12,53.07,57.22,47.04,2.29,2.58,48.08,2.17,2.34,8.15,90.98,99.13,0
50.55,53.8,52.64,49.29,2.16,2.22,48.89,2.12,2.22,7.59,92,99.59,0
53.45,64.29,55.98,48.17,2.24,2.41,52.62,2.61,2.35,6.79,91.92,98.71,0
53.98,60.75,51.78,55.29,2.84,2.3,53.2,2.59,2.28,8.94,91.75,100.69,0
49.72,45.57,46.08,52.38,2.51,2.28,48.81,1.93,2.02,9.04,91.92,100.96,0
55.31,54.06,43.68,54.07,2.4,2.04,53.61,2.32,2.01,7.45,92.42,99.86,0
56.55,58.5,44.94,54.77,2.75,2.27,56.95,2.44,1.84,8.3,90.53,98.83,1
52.78,56.18,50.26,53.7,2.53,2.18,51.69,2.21,2.06,8.06,92.03,100.08,0
52.92,56.25,50.04,50.3,2.52,2.49,51.53,2.3,2.16,8.15,90.99,99.14,0
54.12,54.84,46.5,60.69,2.74,1.77,53.42,2.25,1.96,8.97,92.94,101.91,1
55.42,58.65,47.18,54.98,2.74,2.25,55.39,2.42,1.95,8.44,91.39,99.83,0
53.62,60.35,52.19,53.96,2.26,1.93,50.49,2.34,2.29,6.87,93.54,100.41,1
50.65,55.4,53.97,48.91,2.03,2.12,48.26,2.14,2.29,6.81,92.81,99.62,0
50.45,55.64,54.65,54.67,2.43,2.01,49.08,2.25,2.34,8.17,93.31,101.48,0
52.36,63.94,58.18,47.42,2.38,2.63,49.59,2.49,2.54,7.08,91.82,98.9,0
49.24,56.94,58.7,50.14,2.78,2.76,45,2.29,2.8,8.77,91.85,100.62,0
48.05,46.84,50.65,52.92,2.47,2.2,51.45,2.22,2.1,8.89,91.78,100.67,0
46.68,49.67,56.74,42.71,1.97,2.64,47.76,2,2.19,7.05,90.75,97.8,0
44.78,46.96,57.91,51.17,2.41,2.3,47.85,2.12,2.31,8.89,92.62,101.51,0
47.3,51.19,57.04,45.74,2.26,2.68,49.72,2.24,2.26,7.93,91.3,99.23,0
51.35,56.63,53.66,48.21,2.06,2.21,49.39,2.18,2.23,6.67,92.43,99.11,0
48.83,54.36,56.96,44.89,2.07,2.54,48.32,2.12,2.27,7.07,91.42,98.49,0
46.94,51.85,58.61,53.59,2.5,2.16,46.42,2.07,2.39,8.77,93.08,101.85,0
43.25,47.31,62.08,49.35,2.34,2.4,43.28,1.89,2.48,8.75,92.52,101.27,0
44.18,49.25,62.22,47.92,2.13,2.31,44.14,1.9,2.41,7.79,92.76,100.55,0
48.39,52.11,55.58,36.84,1.74,2.98,44.94,1.85,2.27,6.33,90.6,96.94,0
47.57,54.67,60.26,52.07,2.37,2.18,46.29,1.98,2.29,8.21,93.24,101.45,0
50.01,57.54,57.52,50.5,2.44,2.39,49.88,2.29,2.3,7.61,92.22,99.83,0
51.71,48.53,45.31,52.26,2.33,2.13,49.62,1.92,1.95,8.89,91.68,100.58,0
49.89,50.38,50.61,48.36,2.42,2.59,49.18,2.08,2.15,8.84,90.67,99.52,0
48.03,52.2,56.48,48.99,2.31,2.41,48.39,2.02,2.15,8.05,92.02,100.07,0
48,51.04,55.29,50.35,2.26,2.23,47.29,1.94,2.16,8.76,92.49,101.25,0
49.85,55.57,55.9,48.29,2.19,2.35,47.64,1.96,2.15,7.61,92,99.62,0
48.85,53.46,55.98,50,2.47,2.47,46.26,2.13,2.47,9.47,91.74,101.21,0
50.52,57.6,56.4,52.1,2.5,2.3,50.94,2.46,2.37,8.31,92.1,100.41,0
52.11,61.6,56.61,50.58,2.72,2.66,51.9,2.57,2.38,8.82,90.91,99.73,0
52.56,61.56,55.56,51.27,2.48,2.36,52.48,2.58,2.34,7.91,91.63,99.54,0
50.08,58.08,57.9,49.01,2.23,2.32,49.63,2.45,2.49,7.52,91.92,99.44,0
51.04,56.96,54.65,52.48,2.27,2.05,53.54,2.33,2.02,7.69,92.73,100.42,0
48.14,53.85,58.01,50.56,2.04,1.99,50.26,2.29,2.27,6.93,93.52,100.45,0
58.81,56.82,39.8,58.2,2.42,1.74,57.94,2.39,1.74,7.41,92.4,99.81,1
57.31,59.82,44.55,54.87,2.77,2.28,52.56,2.27,2.05,8.03,91.48,99.51,0
54.04,58.12,49.43,47.92,2.15,2.33,52.57,2.34,2.11,6.74,91.91,98.65,0
53.21,59.26,52.12,50.15,2.57,2.55,52.15,2.41,2.21,7.9,91.54,99.44,0
54.87,56.77,46.69,59.08,2.77,1.92,53.84,2.36,2.02,8.74,92.65,101.39,0
53.57,55.11,47.76,52.48,1.97,1.78,52.39,2.26,2.05,6.65,93.46,100.11,0
51.45,51.66,48.74,50.34,2.28,2.25,50.04,2.05,2.04,7.89,92.06,99.94,0
53.48,52.71,45.85,51.16,2.07,1.98,51.64,2.11,1.98,7.33,92.61,99.93,0
51.71,52.84,49.34,48.31,2,2.14,49.23,2.2,2.27,6.96,92.63,99.59,0
48.22,50.06,53.76,47.06,2.17,2.44,47.99,2.14,2.31,7.88,91.72,99.6,0
48.8,53.7,56.33,47.1,2.22,2.49,48.57,2.24,2.38,7.53,91.98,99.51,0
47.14,52.24,58.58,45.57,2.22,2.65,44.71,2.12,2.62,7.88,91.92,99.8,0
46.37,48.81,56.46,46.73,2.36,2.69,47.75,2.16,2.37,8.95,91.06,100.01,0
47.61,51.77,56.96,50.51,2.43,2.38,48.28,2.23,2.39,8.77,92.43,101.21,0
44.95,50.88,62.3,43.16,2.24,2.95,46.02,2.2,2.58,7.97,90.97,98.94,0
46.36,50.06,57.92,41.92,1.94,2.69,44.4,2.06,2.58,7.49,91.2,98.7,0
47.27,50.78,56.65,47.26,2.14,2.39,46.89,2.21,2.5,7.98,92.05,100.03,0
44.59,48.61,60.4,47.06,2.14,2.41,43.96,2.06,2.63,8.07,92.52,100.59,0
44.32,48.48,60.91,41.5,1.98,2.8,43.9,2.02,2.58,7.69,91.29,98.98,0
48.08,52.66,56.87,40.18,1.96,2.92,45.17,2.06,2.5,7.2,90.14,97.34,0
48.77,54.19,56.92,44.33,2.04,2.56,49.11,2.25,2.33,7.17,91.53,98.7,0
49.9,54.7,54.91,54.28,2.48,2.09,50.99,2.51,2.41,8.29,92.74,101.03,0
50.62,59.86,58.38,47.77,2.4,2.62,50.89,2.7,2.61,7.44,91.74,99.18,0
47.99,52.79,57.22,44.75,2.16,2.66,46.6,2.24,2.57,7.61,91.48,99.09,0
48.99,52.76,54.95,48.63,2.1,2.22,47.18,2.1,2.35,6.95,93.16,100.11,0
46.68,51.88,59.27,51.34,2.44,2.31,46.7,2.12,2.42,8.5,93.27,101.77,0
44.54,49.91,62.15,48.04,2.13,2.3,45.85,1.99,2.35,7.77,93.13,100.9,0
50.3,55.98,55.32,46.67,2.15,2.45,51.52,2.2,2.07,7.13,91.99,99.12,0
49.55,52,52.96,46.59,1.86,2.14,46.66,1.82,2.08,6.57,92.78,99.35,0
49.12,52.55,54.43,36.26,1.69,2.98,45.49,1.94,2.33,5.94,90.34,96.28,0
50.97,54.13,52.07,43.99,2.15,2.74,48.75,2.14,2.25,7.2,90.77,97.97,0
51.28,53.81,51.13,50.53,2.2,2.15,51.71,2.1,1.96,7.27,92.38,99.65,0
48.72,48.25,50.8,56.34,2.48,1.92,49.02,2,2.08,8.88,93.28,102.17,0
50.5,54.08,53.01,44.67,2,2.48,47.86,2.08,2.27,6.56,92.1,98.66,0
49.14,57.38,59.4,49.85,2.53,2.55,48.72,2.34,2.46,7.71,92.32,100.03,0
49.42,55.02,56.32,46.18,2.46,2.87,48.01,2.3,2.49,7.91,90.57,98.48,0
45.71,49,58.2,43.97,2.21,2.82,44.76,2.06,2.54,8.25,91.19,99.44,0
50.69,53.07,51.62,45.78,1.9,2.25,51.34,2.12,2.01,6.88,91.85,98.72,0
50.73,51.62,50.14,51.29,2.22,2.11,51.09,2.11,2.02,7.95,91.97,99.91,0
51.62,55.23,51.76,52.3,2.3,2.1,52.18,2.12,1.95,8.25,92.39,100.64,0
54.76,59.55,49.19,50.21,1.86,1.84,52.95,2.2,1.96,6.07,92.94,99.01,1
56.33,57.18,44.32,52.12,2.26,2.08,54.96,2.24,1.83,7.59,91.49,99.08,0
56.8,61.26,46.58,55.36,2.03,1.64,55.3,2.37,1.92,6.5,93.46,99.96,1
55.37,59.18,47.7,55,2.33,1.91,54.64,2.33,1.93,7.58,92.58,100.15,0
56.39,62.28,48.16,54.02,2.15,1.83,54.67,2.37,1.97,6.82,92.99,99.81,0
54.96,59.91,49.09,48.65,1.9,2.01,54.21,2.37,2,6.21,92.06,98.27,0
50.05,56.19,56.08,52.98,2.3,2.04,48,2.17,2.36,7.8,93.09,100.88,0
48.25,53.62,57.52,45.28,2.07,2.51,47.99,2.12,2.3,7.46,91.72,99.17,0
48.8,48.69,51.09,48.05,2.1,2.28,46.19,1.71,2,8.21,92.26,100.46,0
47.17,47.99,53.75,47.29,1.94,2.17,46.8,1.71,1.95,7.5,92.7,100.2,0
47.81,49.39,53.91,47.18,2.15,2.4,49.4,1.92,1.96,8.22,91.81,100.02,0
45.25,47.22,57.13,45.96,1.96,2.3,45.08,1.79,2.18,7.83,92.58,100.4,0
44.29,47.76,60.09,42,1.63,2.25,46.88,1.92,2.18,6.38,92.63,99.02,0
49.45,49.78,50.9,47.02,2.09,2.35,52.09,2.04,1.88,7.71,91.33,99.03,0
48.6,48.25,51.04,52.61,2,1.8,50.25,1.8,1.78,7.82,93.16,100.97,0
51.06,54.92,52.65,53.55,2.55,2.21,55.21,2.25,1.82,8.56,91.85,100.4,0
